chr	pos	depth
3	178916816	13170
3	178916817	13170
3	178916818	13170
3	178916819	13170
3	178916820	13170
3	178916821	13170
3	178916822	13170
3	178916823	13170
3	178916824	13170
3	178916825	13170
3	178916826	13170
3	178916827	13170
3	178916828	13170
3	178916829	13170
3	178916830	13170
3	178916831	13170
3	178916832	13170
3	178916833	13170
3	178916834	13170
3	178916835	13170
3	178916836	13170
3	178916837	13170
3	178916838	13170
3	178916839	13170
3	178916840	13170
3	178916841	13170
3	178916842	13170
3	178916843	13170
3	178916844	13170
3	178916845	13170
3	178916846	13170
3	178916847	13170
3	178916848	13170
3	178916849	13170
3	178916850	13170
3	178916851	13170
3	178916852	13170
3	178916853	13170
3	178916854	13170
3	178916855	13170
3	178916856	13170
3	178916857	13166
3	178916858	13170
3	178916859	13170
3	178916860	13170
3	178916861	13170
3	178916862	13170
3	178916863	13170
3	178916864	13170
3	178916865	13170
3	178916866	13170
3	178916867	13170
3	178916868	13170
3	178916869	13170
3	178916870	13170
3	178916871	13170
3	178916872	13170
3	178916873	13170
3	178916874	13170
3	178916875	13170
3	178916876	13170
3	178916877	13170
3	178916878	13170
3	178916879	13170
3	178916880	13170
3	178916881	13170
3	178916882	13170
3	178916883	13170
3	178916884	13170
3	178916885	13170
3	178916886	13170
3	178916887	13170
3	178916888	13170
3	178916889	13170
3	178916890	13170
3	178916891	13170
3	178916892	13170
3	178916893	13170
3	178916894	13170
3	178916895	13170
3	178916896	13170
3	178916897	13170
3	178916898	13170
3	178916899	13170
3	178916900	13170
3	178916901	13170
3	178916902	13170
3	178916903	13170
3	178916904	13170
3	178916905	13169
3	178916906	13169
3	178916907	13169
3	178916908	13169
3	178916909	13169
3	178916910	13169
3	178916911	13169
3	178916912	13169
3	178916913	13169
3	178916914	13169
3	178916915	13169
3	178916916	13169
3	178916917	13169
3	178916918	13169
3	178916919	13169
3	178916920	13169
3	178916921	13169
3	178916922	13169
3	178916923	13169
3	178916924	13169
3	178916925	6674
3	178916926	6630
3	178916927	6628
3	178916928	6585
3	178916929	6585
3	178916930	6585
3	178916931	6585
3	178916932	6585
3	178916933	6585
3	178916934	6585
3	178921444	11109
3	178921445	11109
3	178921446	11110
3	178921447	11110
3	178921448	11110
3	178921449	11110
3	178921450	11110
3	178921451	11110
3	178921452	11110
3	178921453	11110
3	178921454	11110
3	178921455	11110
3	178921456	11110
3	178921457	11110
3	178921458	11110
3	178921459	11110
3	178921460	11110
3	178921461	11110
3	178921462	11110
3	178921463	11110
3	178921464	11110
3	178921465	11110
3	178921466	11110
3	178921467	11110
3	178921468	11110
3	178921469	11110
3	178921470	11110
3	178921471	11110
3	178921472	11110
3	178921473	11110
3	178921474	11110
3	178921475	11110
3	178921476	11110
